SLC,SLC17A4,SLC16A4,SLC28A1,SLC15A4,SLC6A3,SLC22A11,SLC22A2,SLC34A1,SLC12A5,SLC10A4,SV2C,SLC30A3,SLC32A1,SLCO1A2,SFXN5,SLC30A6,SLC30A7,SLC25A43,NIPA2,SLC25A24,FLVCR1
SLC17A4,1.0,0.2653526651076283,0.6493172772528213,0.33732834269437684,0.3265034434581649,0.6857725412499651,0.5691691709500672,0.4975316538999368,-0.17318047338279588,-0.3072551923492979,-0.0785718281727907,-0.19702069270934824,-0.18510784548287845,-0.06247964064550656,-0.03132571409878152,-0.0321825236742626,0.23785868665069615,0.2263859781749104,-0.11131660155815924,-0.054292847685904186,-0.008787299541634564
SLC16A4,0.2653526651076283,1.0,0.41513124210141134,0.5197204723091313,0.3495363271267598,0.4326683374601237,0.5300252353339016,0.2714972186308329,-0.005501429691091473,-0.040843265106715085,-0.07024680187437546,-0.027947665313237804,0.014302652254838,-0.12123464599272415,-0.057432554676058685,0.00981611998407234,0.21379333706486245,0.08539079624984533,-0.06302684231115616,0.14894320965655558,-0.2173848872628849
SLC28A1,0.6493172772528213,0.41513124210141134,1.0,0.4982523346772137,0.3946341451022805,0.7174279731131038,0.7283376967703988,0.6100383618233594,0.02376695840344674,-0.2151484273078386,-0.1266195853363903,-0.12419624725595305,-0.044357779477750936,-0.01427911136359684,0.1171871798221671,-0.14367599897031028,0.07702994745778034,0.1246152250788735,-0.23928378704500974,-0.18530745314870667,-0.22090817047674474
SLC15A4,0.33732834269437684,0.5197204723091313,0.4982523346772137,1.0,0.4508822312072717,0.4169122879202002,0.5436117134196415,0.3835945587224601,-0.01927305258434828,-0.11863034143187486,-0.14593651800333302,-0.018010533485404233,-0.06501111154700333,-0.08081734387004595,-0.13447959808001095,0.12317032899017295,0.2754498534093043,0.22155297965721765,0.04878000946859372,0.14145959035372446,-0.1251040503955974
SLC6A3,0.3265034434581649,0.3495363271267598,0.3946341451022805,0.4508822312072717,1.0,0.4000994957381023,0.4786189581656595,0.3110081576907865,-0.02522425561694552,-0.0432564323075788,0.021279586863870974,0.011068895996818208,-0.11152524821863348,-0.08210701794717934,-0.212903429670146,0.07823641153422456,0.19672213763657515,0.13106678068374694,-0.09451289254834824,0.09297534301247012,-0.0261341622813676
SLC22A11,0.6857725412499651,0.4326683374601237,0.7174279731131038,0.4169122879202002,0.4000994957381023,1.0,0.7419119586360856,0.5920219814376865,-0.07163364433844131,-0.2455700454713391,-0.05130898242152157,-0.12040772626541554,-0.10575818996819587,-0.04729736974550088,-0.001785894237759396,-0.10131779006725464,0.1289273632712151,0.14772820557188784,-0.17393754245421764,-0.08614100666761249,-0.1157339072306846
SLC22A2,0.5691691709500672,0.5300252353339016,0.7283376967703988,0.5436117134196415,0.4786189581656595,0.7419119586360856,1.0,0.6028443151607425,-0.0476005812594221,-0.20364662103383546,-0.05184814489627045,-0.16113402176440805,-0.08337212726585456,-0.12291418266488705,-0.0909040400237075,-0.08939534377753575,0.16692345373897385,0.12124007049537724,-0.16121450832203044,0.02500378677837426,-0.2409673883342543
SLC34A1,0.4975316538999368,0.2714972186308329,0.6100383618233594,0.3835945587224601,0.3110081576907865,0.5920219814376865,0.6028443151607425,1.0,-0.1679277770297983,-0.2645580097338298,-0.1880145013080511,-0.1030347205667596,-0.2125804151114406,-0.08868847021589417,-0.07276080831962216,-0.0050889132989152,0.16045164383044044,0.2696262800023983,-0.11003779099887284,-0.028607519308813487,-0.09549208561587602
SLC12A5,-0.17318047338279588,-0.005501429691091473,0.02376695840344674,-0.01927305258434828,-0.02522425561694552,-0.07163364433844131,-0.0476005812594221,-0.1679277770297983,1.0,0.3820853461623759,0.27068760515029106,0.3976951365439584,0.5879460795853777,0.371189550665531,0.40565738890731695,-0.20512514015215144,-0.3816581277949804,-0.3293507589129832,-0.11718910715088135,-0.3834334239767985,-0.14185882561751784
SLC10A4,-0.3072551923492979,-0.040843265106715085,-0.2151484273078386,-0.11863034143187486,-0.0432564323075788,-0.2455700454713391,-0.20364662103383546,-0.2645580097338298,0.3820853461623759,1.0,0.3354365111993532,0.3865677368783542,0.4715884244351377,0.40092909969895546,0.2910361213665001,0.03609636146447875,-0.22184841328667254,-0.19084572633481126,0.07845123311169623,-0.15182534953359553,0.055506900793525306
